index,name,address,Website,Type,Size,Address,City,State,ZipCode,associates,Profit,True/False
976,IIA College,"925 S Gilbert Rd Ste 201, Mesa, Arizona 85204-4448",www.iia.edu,"4-year, primarily associate's, Private for-profit",213.0,925 S Gilbert Rd Ste 201, Mesa,Arizona,85204-4448,1,For-Profit,True
977,Iliff School of Theology,"2201 S University Blvd, Denver, Colorado 80210-4798",www.iliff.edu,"4-year, Private not-for-profit",194.0,2201 S University Blvd, Denver,Colorado,80210-4798,0,Not-For-Profit,False
978,Illinois College,"1101 W College Ave, Jacksonville, Illinois 62650-2299",www.ic.edu,"4-year, Private not-for-profit",898.0,1101 W College Ave, Jacksonville,Illinois,62650-2299,0,Not-For-Profit,False
979,Illinois College of Optometry,"3241 S Michigan Ave, Chicago, Illinois 60616-3878",WWW.ICO.EDU,"4-year, Private not-for-profit",613.0,3241 S Michigan Ave, Chicago,Illinois,60616-3878,0,Not-For-Profit,False
980,Illinois Institute of Technology,"3300 S Federal St, Chicago, Illinois 60616",www.iit.edu,"4-year, Private not-for-profit",7453.0,3300 S Federal St, Chicago,Illinois,60616,0,Not-For-Profit,False
981,Illinois State University,"North and School Streets, Normal, Illinois 61790-1000",www.ilstu.edu,"4-year, Public",20799.0,North and School Streets, Normal,Illinois,61790-1000,0,Not-For-Profit,False
982,Illinois Wesleyan University,"1312 N Park St, Bloomington, Illinois 61702-2900",www.iwu.edu,"4-year, Private not-for-profit",2125.0,1312 N Park St, Bloomington,Illinois,61702-2900,0,Not-For-Profit,False
983,Immaculata University,"1145 King Rd, Immaculata, Pennsylvania 19345-0702",www.immaculata.edu,"4-year, Private not-for-profit",4179.0,1145 King Rd, Immaculata,Pennsylvania,19345-0702,0,Not-For-Profit,False
984,Indian River State College,"3209 Virginia Ave, Fort Pierce, Florida 34981-5596",www.irsc.edu,"4-year, primarily associate's, Public",15366.0,3209 Virginia Ave, Fort Pierce,Florida,34981-5596,1,Not-For-Profit,True
985,Indiana Business College-Evansville,"4601 Theatre Dr, Evansville, Indiana 47715-4601",www.ibcschools.edu,"4-year, primarily associate's, Private for-profit",265.0,4601 Theatre Dr, Evansville,Indiana,47715-4601,1,For-Profit,True
986,Indiana Business College-Ft Wayne,"6413 N Clinton St, Fort Wayne, Indiana 46825-4911",www.ibcschools.edu,"4-year, primarily associate's, Private for-profit",499.0,6413 N Clinton St, Fort Wayne,Indiana,46825-4911,1,For-Profit,True
987,Indiana Business College-Indianapolis,"550 East Washington Street, Indianapolis, Indiana 46204",www.ibcschools.edu,"4-year, primarily associate's, Private for-profit",1889.0,550 East Washington Street, Indianapolis,Indiana,46204,1,For-Profit,True
988,Indiana Business College-Muncie,"411 W Riggin Rd, Muncie, Indiana 47303",www.ibcschools.edu,"4-year, primarily associate's, Private for-profit",268.0,411 W Riggin Rd, Muncie,Indiana,47303,1,For-Profit,True
989,Indiana Business College-Terre Haute,"1378 South SR 46, Terre Haute, Indiana 47803",ibcschools.edu,"4-year, primarily associate's, Private for-profit",275.0,1378 South SR 46, Terre Haute,Indiana,47803,1,For-Profit,True
990,Indiana Institute of Technology,"1600 E Washington Blvd, Fort Wayne, Indiana 46803-1228",www.indianatech.edu,"4-year, Private not-for-profit",3653.0,1600 E Washington Blvd, Fort Wayne,Indiana,46803-1228,0,Not-For-Profit,False
991,Indiana State University,"210 N 7th St, Terre Haute, Indiana 47809",www.indstate.edu,"4-year, Public",10457.0,210 N 7th St, Terre Haute,Indiana,47809,0,Not-For-Profit,False
992,Indiana University of Pennsylvania-Main Campus,"1011 South Dr 201 Sutton Hall, Indiana, Pennsylvania 15705-1098",www.iup.edu,"4-year, Public",14310.0,1011 South Dr 201 Sutton Hall, Indiana,Pennsylvania,15705-1098,0,Not-For-Profit,False
993,Indiana University-Bloomington,"107 South Indiana Ave., Bloomington, Indiana 47405-7000",www.iub.edu,"4-year, Public",40354.0,107 South Indiana Ave., Bloomington,Indiana,47405-7000,0,Not-For-Profit,False
